id,author,timestamp,phase,text,reply_to_id
1,Omar,2024-02-24T05:40:00,shock,Is it safe to go near University? Sirens again.,
2,Miguel,2024-02-24T06:03:00,shock,"River St, windows blown out.",
3,Neighbor_3A,2024-02-24T06:14:00,shock,Anyone knows what happened near the small park by the river?,
4,Tarek,2024-02-24T06:58:00,shock,Is it safe to go near University? Sirens again.,
5,Omar,2024-02-24T07:20:00,shock,"No signal from my parents in Riverside, any news?",
6,Leo,2024-02-24T07:56:00,shock,Anyone knows what happened near the bus depot?,
7,Lena,2024-02-24T08:36:00,shock,"Station Road, windows blown out.",
8,Lena,2024-02-24T08:45:00,shock,Is it safe to go near Riverside? Sirens again.,7.0
9,Miguel,2024-02-24T09:17:00,shock,Anyone knows what happened near the playground behind the school?,6.0
10,Neighbor_3A,2024-02-24T09:56:00,shock,"River St, windows blown out.",
11,Tarek,2024-02-24T10:24:00,shock,Is it safe to go near Riverside? Sirens again.,
12,Ana,2024-02-24T10:42:00,shock,"Station Road, windows blown out.",2.0
13,Omar,2024-02-24T11:09:00,shock,Is it safe to go near Central Station? Sirens again.,
14,Ana,2024-02-24T11:28:00,shock,"No signal from my parents in Industrial Park, any news?",
15,Mom,2024-02-24T11:34:00,shock,Is it safe to go near North Station? Sirens again.,
16,Miguel,2024-02-24T11:46:00,shock,Is it safe to go near Museum? Sirens again.,
17,Sara,2024-02-24T12:17:00,shock,"River St, windows blown out.",
18,Lena,2024-02-24T12:32:00,shock,"No signal from my parents in Riverside, any news?",
19,Lena,2024-02-24T13:12:00,shock,"No signal from my parents in Industrial Park, any news?",
20,Omar,2024-02-24T13:47:00,shock,"No signal from my parents in North Station, any news?",
21,Omar,2024-02-24T14:14:00,shock,North Station – smoke in the distance.,
22,Leo,2024-02-24T14:20:00,shock,Hilltop – smoke in the distance.,1.0
23,Mom,2024-02-24T14:34:00,shock,"No signal from my parents in Riverside, any news?",
24,Sara,2024-02-24T14:51:00,shock,Anyone knows what happened near the small park by the river?,
25,Lena,2024-02-24T15:06:00,shock,Is it safe to go near North Station? Sirens again.,
26,Mom,2024-02-24T15:18:00,shock,"No signal from my parents in Industrial Park, any news?",
27,Sara,2024-02-24T16:00:00,shock,"Central Blvd, windows blown out.",
28,Omar,2024-02-24T16:06:00,shock,Anyone knows what happened near the small park by the river?,
29,Lena,2024-02-24T16:19:00,shock,"No signal from my parents in Hilltop, any news?",
30,Tarek,2024-02-24T16:47:00,shock,Is it safe to go near Riverside? Sirens again.,
31,Leo,2024-02-24T16:55:00,shock,Is it safe to go near Museum? Sirens again.,
32,Mom,2024-02-24T17:04:00,shock,Is it safe to go near North Station? Sirens again.,
33,Tarek,2024-02-24T17:23:00,shock,Riverside – smoke in the distance.,
34,Leo,2024-02-24T17:44:00,shock,"No signal from my parents in Industrial Park, any news?",
35,Tarek,2024-02-24T18:25:00,shock,"Alameda Ave, windows blown out.",2.0
36,Ana,2024-02-24T18:33:00,shock,Old Town – smoke in the distance.,
37,Ana,2024-02-24T18:45:00,shock,Riverside – smoke in the distance.,4.0
38,Leo,2024-02-24T18:53:00,shock,"No signal from my parents in Riverside, any news?",
39,Miguel,2024-02-24T19:23:00,shock,Hilltop – smoke in the distance.,
40,Sara,2024-02-24T19:59:00,shock,"No signal from my parents in North Station, any news?",16.0
41,Neighbor_3A,2024-02-24T20:12:00,shock,Anyone knows what happened near the playground behind the school?,1.0
42,Mom,2024-02-24T20:40:00,shock,"Market St, windows blown out.",
43,Tarek,2024-02-24T21:17:00,shock,Anyone knows what happened near the small park by the river?,
44,Omar,2024-02-24T21:30:00,shock,North Station – smoke in the distance.,30.0
45,Tarek,2024-02-24T22:01:00,shock,Is it safe to go near University? Sirens again.,37.0
46,Sara,2024-02-24T22:07:00,shock,Is it safe to go near University? Sirens again.,
47,Leo,2024-02-24T22:32:00,shock,Is it safe to go near Museum? Sirens again.,
48,Mom,2024-02-24T23:04:00,shock,"No signal from my parents in Old Town, any news?",4.0
49,Lena,2024-02-24T23:44:00,shock,Is it safe to go near Museum? Sirens again.,
50,Neighbor_3A,2024-02-24T23:50:00,shock,"River St, windows blown out.",
51,Tarek,2024-02-25T00:18:00,shock,"River St, windows blown out.",
52,Omar,2024-02-25T00:29:00,shock,"Central Blvd, windows blown out.",
53,Mom,2024-02-25T00:42:00,shock,"No signal from my parents in Industrial Park, any news?",
54,Miguel,2024-02-25T01:20:00,shock,Is it safe to go near Riverside? Sirens again.,
55,Omar,2024-02-25T01:43:00,shock,"River St, windows blown out.",
56,Neighbor_3A,2024-02-25T01:51:00,shock,Anyone knows what happened near the orange pharmacy?,
57,Mom,2024-02-25T02:35:00,shock,"Market St, windows blown out.",45.0
58,Mom,2024-02-25T03:10:00,shock,Is it safe to go near University? Sirens again.,
59,Lena,2024-02-25T03:26:00,shock,North Station – smoke in the distance.,
60,Lena,2024-02-25T03:43:00,shock,"Market St, windows blown out.",
61,Mom,2024-02-25T03:53:00,shock,Anyone knows what happened near the orange pharmacy?,
62,Leo,2024-02-25T04:04:00,shock,"No signal from my parents in Hilltop, any news?",
63,Lena,2024-02-25T04:45:00,shock,"No signal from my parents in Hilltop, any news?",2.0
64,Ana,2024-02-25T04:54:00,shock,"No signal from my parents in Hilltop, any news?",
65,Sara,2024-02-25T05:25:00,shock,Anyone knows what happened near the playground behind the school?,
66,Leo,2024-02-25T06:06:00,shock,"No signal from my parents in Old Town, any news?",
67,Ana,2024-02-25T06:36:00,shock,Is it safe to go near Central Station? Sirens again.,
68,Omar,2024-02-25T06:53:00,shock,Hilltop – smoke in the distance.,23.0
69,Neighbor_3A,2024-02-25T06:59:00,shock,Anyone knows what happened near the bakery on Market?,
70,Neighbor_3A,2024-02-25T07:10:00,shock,Hilltop – smoke in the distance.,
71,Leo,2024-02-25T07:53:00,shock,Anyone knows what happened near the orange pharmacy?,
72,Miguel,2024-02-25T08:09:00,shock,Is it safe to go near Central Station? Sirens again.,53.0
73,Miguel,2024-02-25T08:22:00,shock,Anyone knows what happened near the playground behind the school?,
74,Mom,2024-02-25T09:03:00,shock,Anyone knows what happened near the bakery on Market?,
75,Neighbor_3A,2024-02-25T09:47:00,shock,Anyone knows what happened near the playground behind the school?,
76,Omar,2024-02-25T09:57:00,shock,"Station Road, windows blown out.",32.0
77,Lena,2024-02-25T10:30:00,shock,Hilltop – smoke in the distance.,
78,Tarek,2024-02-25T11:10:00,shock,Is it safe to go near Museum? Sirens again.,
79,Tarek,2024-02-25T11:21:00,shock,"Station Road, windows blown out.",
80,Neighbor_3A,2024-02-25T11:48:00,shock,"Central Blvd, windows blown out.",
81,Neighbor_3A,2024-02-25T12:04:00,shock,Anyone knows what happened near the small park by the river?,
82,Neighbor_3A,2024-02-25T12:12:00,shock,"No signal from my parents in Old Town, any news?",
83,Ana,2024-02-25T12:21:00,shock,"No signal from my parents in Hilltop, any news?",
84,Neighbor_3A,2024-02-25T12:32:00,shock,"No signal from my parents in Hilltop, any news?",36.0
85,Neighbor_3A,2024-02-25T13:09:00,shock,"Station Road, windows blown out.",28.0
86,Neighbor_3A,2024-02-25T13:54:00,shock,"No signal from my parents in Hilltop, any news?",
87,Lena,2024-02-25T14:31:00,shock,Hilltop – smoke in the distance.,
88,Tarek,2024-02-25T15:13:00,shock,"No signal from my parents in Riverside, any news?",
89,Ana,2024-02-25T15:27:00,shock,"Station Road, windows blown out.",63.0
90,Sara,2024-02-25T15:49:00,shock,Anyone knows what happened near the bus depot?,26.0
91,Neighbor_3A,2024-02-25T16:07:00,shock,Anyone knows what happened near the playground behind the school?,14.0
92,Leo,2024-02-25T16:16:00,shock,"No signal from my parents in Hilltop, any news?",35.0
93,Lena,2024-02-25T16:53:00,shock,"No signal from my parents in Old Town, any news?",
94,Tarek,2024-02-25T17:15:00,shock,Hilltop – smoke in the distance.,
95,Mom,2024-02-25T17:57:00,shock,Is it safe to go near Central Station? Sirens again.,80.0
96,Neighbor_3A,2024-02-25T18:20:00,shock,Is it safe to go near Riverside? Sirens again.,
97,Omar,2024-02-25T18:36:00,shock,Anyone knows what happened near the small park by the river?,
98,Ana,2024-02-25T18:44:00,shock,"No signal from my parents in Industrial Park, any news?",
